"Author","Papers"
"Zhang, Y.",22
"Liu, Y.",20
"Wang, Y.",20
"Li, Y.",19
"Wang, J.",17
"Li, J.",13
"Wang, Z.",13
"Wang, H.",11
"Zhang, J.",11
"Zhou, Y.",11
"Wu, Y.",10
"Zhang, X.",10
"Zhang, Z.",10
"Li, H.",9
"Zhang, H.",9
"Chen, L.",8
"Kim, J.",8
"Yang, Y.",8
"Chen, S.",7
"Li, X.",7
