"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design of an Improved Model for Forensic Chain-of-Custody Using ZK-TIV, MV-PGChain, and AWReS","T. S. Rohankar; V. S. Gulhane","Dept. of Information Technology, Sipna College of Engineering and Technology, Amravati, India; Dept. of Information Technology, Sipna College of Engineering and Technology, Amravati, India",2025 IEEE International Conference on Advances in Computing Research On Science Engineering and Technology (ACROSET),"16 Dec 2025","2025","","","1","6","The digital forensic investigation process overwhelmingly depends on the unbroken, tamper-proof, and audit able Chain of Custody for evidence data. However, most traditional Chain of Custody systems suffer limitations being either static permission control, weak traceability, or even worse lack implementation of cryptographically enforced privacy and integrity guarantees in evidence lifecycle management. These failures can disable real-time, transparent, and secure evidence life cycle management, especially in costly, heterogeneous, and multi-party environments. The work introduces FAIR-CoC, a Forensic Adaptive Integrity and Reputation Chain-of-Custody system conceptually based on the Hybrid Blockchain-IPFS CoC Ledger (HBI-CoC) architecture to resolve these problems. This system uses IPFS as a decentralized repository for forensic artifacts while using private Ethereum blockchain for immutable record keeping of cryptographic hashes, access metadata, and smart contract logic. Furthermore, the framework consists of five key parts, ZK-TIV (Zero-Knowledge Temporal Integrity Verifier) enables evidence access within permissible timestamp windows using zk-SNARK proofs without revealing accessor identities to enhance privacy and temporal accountability in the process; the MV-PGChain (MultiVector Provenance Graph Chain) builds high fidelity provenance graph capturing handler, location, tool, and timestamp changes, with Merkle root snap-shots anchored on-chains; AWReS (Access Weighted Reputation Scorer) dynamically assesses trustworthiness for custodians using on-chain behavioral analytics; HAT-FSS (Homomorphic Audit Tags for Forensic Shard Storage) allows encrypted auditability for IPFS-stored shards using homomorphic verification tags; PA-ESC (Predictive Access Escalation Smart Contracts) embeds AI-based access behavior modeling to automate privilege revocation or escalations. Collectively, these functionalities present a novel adaptive and privacy-preserving CoC framework with solid integrity, traceability, and trust guarantees. Experimental evaluations contend with low latency and accuracy whether across all modules, establishing FAIR-CoC as a leap forward toward secure, scalable, and intelligent forensic chain-ofcustody systems.","","978-1-6654-5810-8","10.1109/ACROSET66531.2025.11281309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281309","Blockchain;Chain of Custody;Zero-Knowledge Proofs;Forensic Provenance;Smart Contracts;Process","Privacy;Adaptation models;Forensics;Smart contracts;Predictive models;Metadata;Solids;Real-time systems;Blockchains;Low latency communication","","","","25","IEEE","16 Dec 2025","27-28 Sept. 2025","27-28 Sept. 2025","IEEE","IEEE Conferences"
"Decentralized software project outsourcing: Blockchain based auctioning and milestone verification","E. -O. MÎŞ; D. -Ş. Rusu; A. VasilĂŢEanu","Department of Engineering in Foreign Languages, Universitatea Naţională de Ştiinţă şi Tehnologie POLITEHNICA Bucureşti, Bucharest, Romania; Department of Engineering in Foreign Languages, Universitatea Naţională de Ştiinţă şi Tehnologie POLITEHNICA Bucureşti, Bucharest, Romania; Department of Engineering in Foreign Languages, Universitatea Naţională de Ştiinţă şi Tehnologie POLITEHNICA Bucureşti, Bucharest, Romania","2025 IEEE 2nd International Conference on Blockchain, Smart Healthcare and Emerging Technologies (SmartBlock4Health)","14 Oct 2025","2025","","","1","5","When it comes to outsourcing in the field of software engineering, we can identify numerous challenges that might be solved using blockchain. In this article we present a system that has the goal of easing auction-based outsourcing where a client lists its available contracts, and the contractors can bid on them. The auction process is one of the main problems that can be improved with blockchain due to its transparency, ensuring the bidding process is fair and lacks hidden agreements between the parties involved. Immutability provided by the ledger will help with resolving disputes, while the participants will preserve their anonymity for a biased-free auction process.","","979-8-3315-3541-4","10.1109/SmartBlock4Health64843.2025.11189442","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189442","blockchain;milestone payments;auction;software engineering","Medical services;Software;Blockchains;Outsourcing;Contracts;Software engineering","","","","17","IEEE","14 Oct 2025","19-20 June 2025","19-20 June 2025","IEEE","IEEE Conferences"
"Research On Electricity Spot Market Trading System Based On Blockchain Technology","J. Ma; J. Wu; W. He; W. Zhao; Y. Han; X. Pan; J. Feng","State Grid Shanxi Electric Power Company Information Communication Branch, Taiyuan, China; State Grid Shanxi Electric Power Company Information Communication Branch, Taiyuan, China; State Grid Shanxi Electric Power Company, Taiyuan, China; State Grid Shanxi Electric Power Company, Taiyuan, China; Shanxi Electric Power Trading Center Co., Ltd, Taiyuan, China; State Grid Blockchain Technology (Beijing) CO.LTD., Beijing, China; State Grid Blockchain Technology (Beijing) CO.LTD., Beijing, China",2023 3rd International Conference on Computer Science and Blockchain (CCSB),"29 Jan 2024","2023","","","101","106","With the construction of the new power system and the promotion of the reform of the power market system, the number of market transaction varieties and participants of all parties has increased sharply, especially the development of the electricity spot market has put forward higher requirements for building a fair, efficient, reliable and safe market transaction environment. In this regard, in view of the problems of weak multi-agent trust, poor autonomy and low synergy efficiency in the electricity spot market, the blockchain is used to build a safe, fair, reliable and efficient electricity spot trading environment. Through smart contract technology, the operation efficiency and rules of the electricity spot market are improved, and the sense of equity, autonomy and efficiency of market participants is enhanced, and the efficient operation of the market and green and low-carbon development are promoted.","","979-8-3503-5907-7","10.1109/CCSB60789.2023.10398820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398820","Blockchain;electricity market;smart contracts","Supply and demand;Volume measurement;Smart contracts;Time measurement;Power system reliability;Blockchains;Reliability","","1","","11","IEEE","29 Jan 2024","17-19 Nov. 2023","17-19 Nov. 2023","IEEE","IEEE Conferences"
"Decentralized Social Trading: A Blockchain Approach for the Indian Market","P. Sellappan; K. Shanmugam","Symbiosis Institute of Business Management, Nagpur, Constituent of Symbiosis International (Deemed) University, Pune, India; Department of Management Studies, College of Engineering, Guindy Campus, Anna University, Chennai, India",2025 6th International Conference on Inventive Research in Computing Applications (ICIRCA),"31 Jul 2025","2025","","","401","407","Social trading has transformed financial markets by allowing investors to follow and replicate expert traders. In India, social information networks (SINs) and Social Trading Platforms (STPs) like broker-driven platforms, social media groups, and trading forums influence investment decisions. But these centralized systems have security risks, low transparency, and trade manipulation. On the other hand, global blockchain-based STPs, such as eToroX, dYdX, and Melon Protocol, use the technique of decentralization. It is based on smart contracts, and distributed ledger technology (DLT) and ensures secure and automatic trade execution. This paper analyses Indian SINs, STPs and global blockchain-based platforms, highlighting specific features and key differences in security, transparency, and efficiency. The authors suggest a new blockchain-based social trading framework for India. The proposed system encompasses smart contracts for trustless execution, decentralized identity verification, a credible trader reputation system, and SEBI compliance. The framework is aimed at improving market integrity, removing intermediaries, and ensuring a secure, transparent trading environment. The study highlights the advantages and challenges in implementing the proposed system. This work will provide a basis for developing a country-specific, safe, and secure social trading platform for Indian market.","","979-8-3315-2142-4","10.1109/ICIRCA65293.2025.11089774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11089774","Blockchain;Social Trading;Smart Contracts;Indian Stock Market;Decentralized Finance (DeFi)","Distributed ledger;Social networking (online);Smart contracts;Finance;Decentralized applications;Trustless services;Blockchains;Systems support;Security;Stock markets","","","","40","IEEE","31 Jul 2025","25-27 June 2025","25-27 June 2025","IEEE","IEEE Conferences"
"vPass: Publicly Verifiable Fair Exchange Protocol for Vehicle Passports","I. Afia; H. S. Galal; R. AlTawy; A. M. Youssef","University of Victoria, BC, Canada; Concordia University, Quebec, Canada; University of Victoria, BC, Canada; Concordia University, Quebec, Canada",2023 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),"12 Jul 2023","2023","","","1","9","In second-hand vehicle markets, blockchains are being proposed as means to provide verification of vehicle history, a.k.a. vehicle passport (VP). However, given that confidentiality of VPs often contradicts public verification, blockchains are not used to their full potential in the proposed frameworks. Specifically, although blockchain smart contracts offer a decentralized mechanism for untrusted parties to fairly exchange digital assets without the need for a trusted third party, VP exchange is always carried off-chain. In this work, we investigate the problem of “fair exchange” of confidential VPs over public blockchains where its plain information must be verified against its publicly committed value. We propose a zero-knowledge proof, called Consistent Commitment Encryption (CCE), that enables the public verification of the consistency between ElGamal encryption of a given VP and its Pedersen commitment. We employ our CCE to build vPass, a decentralized vehicle passport framework that enables second-hand vehicle buyers to purchase vehicle history information from designated service providers and get it verified and delivered on-chain while preserving its confidentiality. The security of CCE relies on the intractability of the discrete logarithm problem in elliptic curve groups and it has no trusted setup. We formally prove that CCE is sound, complete, and witness indistinguishable proof of knowledge, and report on comparisons with other generic proof systems. Moreover, we show that vPass provides fair exchange and confidentiality of the vehicle history, and compare it to existing VP systems. Finally, we provide a proof of concept implementation on Ethereum and report the system performance metrics.","2832-8906","979-8-3503-1019-1","10.1109/ICBC56567.2023.10174895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174895","Blockchain;zero-knowledge proofs;vehicle passports;fair exchange","Measurement;Elliptic curves;System performance;Smart contracts;Blockchains;Encryption;Cryptocurrency","","","","41","IEEE","12 Jul 2023","1-5 May 2023","1-5 May 2023","IEEE","IEEE Conferences"
"SCAFT: A Scalable Crowd-Assisted Fair Trading Protocol","C. Chenli; W. Tang; S. S. Mukherjee; T. Jung","Computer Sciences, Indiana Institute of Technology, Fort Wayne, IN, USA; Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA",2024 IEEE International Conference on Blockchain (Blockchain),"18 Sep 2024","2024","","","442","449","The online data marketplace is experiencing rapid growth and ensuring fairness between trading participants is essential as they do not trust each other due to the nature of the Internet. With the emergence of blockchain technology, it is possible to guarantee online trading fairness without leveraging a single trusted authority. In existing solutions, data are encrypted, and the decryption keys are exchanged with cryptocurrencies atomically through a Hash Time-Locked Contract (HTLC). Unfortunately, existing protocols share an underlying assumption that requires a direct, secure channel between each pair of users (namely, each pair of seller and buyer) since some consensus must be secretly reached before deploying the HTLC. However, this assumption of pair-wise secure channels decreases the practicality of existing solutions because such channels are not widely available for normal users on the Internet, especially for the sellers, since they need to create a secure channel with every single buyer. Besides, the use of pair-wise secure channels makes the seller the only entity that can provide correct answers to smart contracts, which makes it harder to facilitate the trading process and to further improve the protocols' scalability. In this paper, we address the above concerns by proposing a novel scalable fair trading protocol called SCAFT that eliminates direct user communications and supports crowd-assisted selling. We analyzed our protocol's security and proved that SCAFT is secure against any polynomial adversaries considered in this paper. Evaluation results indicate that although our protocol causes extra gas consumption for both the seller and the buyer, the communication costs between them are further reduced.","2834-9946","979-8-3503-5159-0","10.1109/Blockchain62396.2024.00065","NASA ULI(grant numbers:80NSSC23M0058); NSF(grant numbers:OAC-2312973); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10664365","Data trading;fair exchange;non-interactive atomic exchange;scalable fair trading protocol","Protocols;Costs;Scalability;Simulation;Smart contracts;Polynomials;Blockchains","","","","41","IEEE","18 Sep 2024","19-22 Aug. 2024","19-22 Aug. 2024","IEEE","IEEE Conferences"
"Combating Reentrancy Bugs on Sharded Blockchains","O. Marić; R. Künzler; L. Schmid; R. Kashitsyn",DFINITY Foundation; DFINITY Foundation; DFINITY Foundation; Gensyn AI,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),"14 Aug 2025","2025","","","1","9","Reentrancy is a well-known source of smart contract bugs on Ethereum, leading e.g. to double-spending vulnerabilities in DeFi applications. But less is known about this problem in other blockchains, which can have significantly different execution models. Sharded blockchains in particular generally use an asynchronous messaging model that differs substantially from the synchronous and transactional model of Ethereum. We study the features of this model and its effect on reentrancy bugs on three examples: the Internet Computer (ICP) blockchain, NEAR Protocol, and MultiversX. We argue that this model, while useful for improving performance, also makes it easier to introduce reentrancy bugs. For example, reviews of the pre-production versions of some of the most critical ICP smart contracts found that 66% (10/15) of the reviewed contracts — written by expert authors — contained reentrancy bugs of medium or high severity, with potential damages in tens of millions of dollars. We evaluate existing Ethereum programming techniques (in particular the effects-checks-interactions pattern, and locking) to prevent reentrancy bugs in the context of this new messaging model and identify some issues with them. We then present novel Rust and Motoko patterns that can be leveraged on ICP to solve these issues. Finally, we demonstrate that the formal verification tool TLA+ can be used to find and eliminate such bugs in real world smart contracts on sharded blockchains.","2832-8906","979-8-3315-4135-4","10.1109/ICBC64466.2025.11114615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114615","security;reentrancy;formal verification;smart contracts;blockchain","Codes;Translation;Computational modeling;Computer bugs;Smart contracts;Syntactics;Blockchains;Internet;Formal verification;Testing","","","","27","IEEE","14 Aug 2025","2-6 June 2025","2-6 June 2025","IEEE","IEEE Conferences"
"Blockchain Technology: A new way to Secure Voter Anonymity","M. Lathyan; Sahil; R. Tonger; V. Sisaudia","Department of Information Technology, Delhi Technological University, Delhi, India; Department of Information Technology, Delhi Technological University, Delhi, India; Department of Information Technology, Delhi Technological University, Delhi, India; Department of Information Technology, Delhi Technological University, Delhi, India","2023 5th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)","5 Jun 2024","2023","","","1465","1469","Blockchain technology is an emerging technology that has been widely used in the field of voting systems. In this paper, we propose a blockchain-based voting system for electronic voting. The proposed voting system provides a scalable, trustworthy, and reachable way to guarantee the integrity of democratic voting by utilizing the most recent blockchain technology. Moreover, a chain security mechanism is used to strengthen the security of voting transactions. Finally, the proposed system presents a viable solution to the problems that both traditional and electronic voting systems face. Blockchain technology offers several advantages for voting systems, but it also presents several challenges and limitations that need to be carefully considered and addressed to ensure the success of blockchain technology for boosting the security and transparency of the voting system. The implementation of voting methods based on blockchain technology can aid in safeguarding voters' privacy, preventing fraud, and promoting free and fair elections by using the technology's distinctive properties, such as encryption mechanisms and a decentralized network of computers. It also has substantial advantages, including the chance to modernize democracy and boost voter trust in the political process.","","979-8-3503-3086-1","10.1109/ICAC3N60023.2023.10541641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10541641","Blockchain technology;decentralization;privacy;and smart contracts","Computers;Privacy;Smart contracts;Boosting;Blockchains;Fraud;Encryption","","","","15","IEEE","5 Jun 2024","15-16 Dec. 2023","15-16 Dec. 2023","IEEE","IEEE Conferences"
"Value Attribution through Provenance Tracking in Blockchain Networks","S. Chakraborty; B. Vishwanathan; P. Jayachandran","IBM Research, India; IBM Software Labs, India; IBM Research, India",2019 IEEE International Conference on Web Services (ICWS),"29 Aug 2019","2019","","","413","417","Blockchain networks are trustless, enabling different organizations to come together and collaborate towards a business goal. Enterprise blockchain networks are permissioned, where participation in the network is by invitation and each participant has an identity to transact on the network. Typically the incentive for joining such a permissioned network, is the value gained in terms of ease of doing business with untrusted entities, a reduction in disputes, or greater visibility into the business process and associated data, to name a few. This also means that participation in the network is asymmetric, i.e., different participants bring different levels of value to the network and gain different value from the network. The purpose of this paper is to present a mechanism to track the value brought and gained by participants, by using fine grained provenance tracking in a decentralized manner leveraging blockchain. In addition, the fine-grained provenance tracking permits us to share the value back with the contributing organizations in a fair and decentralized manner, paving the way for new modes of value sharing, incentivization and monetization mechanisms for organizations participating in the blockchain ecosystem.","","978-1-7281-2717-0","10.1109/ICWS.2019.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8818415","Blockchain, Provenance, Value Attribution, Incentive, Know Your Customer","Web services;Biological system modeling;Pipelines;Ecosystems;Organizations;Trustless services;Blockchains","","4","","17","IEEE","29 Aug 2019","8-13 July 2019","8-13 July 2019","IEEE","IEEE Conferences"
"Tender System Verification with Satisfiability Modulo Theories","R. Dávila; R. Aldeco-Pérez; E. Bárcenas","IIMAS: Posgrado en Ciencia e Ingeniería de la Computación UNAM, Ciudad Universitaria, México; Dpto. de Computación UNAM, Facultad de Ingeniería, Ciudad Universitaria, México; Dpto. de Computación UNAM, Facultad de Ingeniería, Ciudad Universitaria, México",2021 9th International Conference in Software Engineering Research and Innovation (CONISOFT),"28 Dec 2021","2021","","","69","78","A tender process consists in competing offers from different candidate suppliers or contractors. The tender winner is supposed to supply or provide a service in better conditions than competitors. Tenders are developed using centralized un-verified systems, which reduce transparency, fairness and trust on the process, it also reduces the ability to detect malicious attempts to manipulate the process. Systems that provide formal verification, decentralization, trust and transparency can mitigate these risks. Satisfiability Modulo Theories provides a formal analysis to prove correctness of tender properties, verified properties ensures system reliability. In addition one technology that claims to do decentralization is Blockchain, a chain of distributed and decentralized records linked in a way such that integrity is ensured. This paper presents a formal verified, decentralized and automated proposal model, based on Satisfiability Modulo Theories and Blockchain technology, to make system procurement tenders more reliable, transparent and fair.","","978-1-6654-4361-6","10.1109/CONISOFT52520.2021.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9653168","Satisfiability Modulo Theories;Automated verification;Blockchain;e-Procurement","Procurement;Technological innovation;System verification;Reliability theory;Blockchains;Software reliability;Proposals","","2","","17","IEEE","28 Dec 2021","25-29 Oct. 2021","25-29 Oct. 2021","IEEE","IEEE Conferences"
