"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital Institutional Repositories, Component of Open Science to Disseminate Scientific Publications: Case Repository UTP-Ridda2","M. Danny; F. Madelaine; C. Huriviades; S. Dalys","DIGITEC, Universidad Tecnológica de Panamá Panamá, Panamá; DIGITEC, Universidad Tecnológica de Panamá, Panama City, Panama; Dirección de Investigación, Universidad Tecnológica de Panamá, Panama City, Panama; DIGITEC, Universidad Tecnológica de Panamá Panamá, Panamá","2019 7th International Engineering, Sciences and Technology Conference (IESTEC)","30 Dec 2019","2019","","","653","658","In this paper, we present the results obtained through the implementation of an open access institutional repository as a component of open science. Through this implementation, we want to improve the visibility, scope, and measurement of the impact of scientific publications of the Technological University of Panama. We also present the made efforts to measure the results with the used indicators, and the achieved position in the ranking of repositories at an international level. We mention three of the international initiatives that promote repositories and open science, its principles and scope. For last, we mention objectives of the National Secretariat of Science and Technology (SENACYT) related to interest of measuring the science and vision of creating the National Repository of open access scientific publications to disseminate research in Panama.","","978-1-7281-1691-4","10.1109/IESTEC46403.2019.00122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943619","open science;open access;institutional repository","Open Access;Google;Medical services;Object recognition;Irrigation;Silicon compounds;Uniform resource locators","","2","","0","IEEE","30 Dec 2019","9-11 Oct. 2019","9-11 Oct. 2019","IEEE","IEEE Conferences"
"A hybrid approach to storage scheme for semantic Web metadata","Sung Wan Kim","Department of Computer Information, Sahmyook College, Seoul, South Korea",International Conference on Next Generation Web Services Practices (NWeSP'05),"13 Feb 2006","2005","","","6 pp.","","In the near future, it is anticipated that enormous semantic Web metadata described in RDF will be appearing. Thus, some researches on the management for the semantic Web metadata have been proposed. In most previous approaches, the semantic Web metadata as a form of triple is stored in a large relational table. Since it always requires the whole table to be scanned for processing a query, it may degrade retrieval performance. In this paper, we distinguish some frequently appeared properties in the semantic Web metadata and/or frequently used properties in a user query. RDF data with these distinguished properties are independently treated and stored in corresponding property-based tables respectively. For processing a query having a specific property, we can avoid full scanning of the whole data and only have to access a corresponding table. Finally, we partially implement and evaluate the proposed scheme. The initial results show that the proposed scheme achieves better performance for queries having a specific property.","","0-7695-2452-4","10.1109/NWESP.2005.4","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592406","","Semantic Web;Resource description framework;Degradation;Software agents;Database systems;Educational institutions;Data mining;Search engines;Humans;Energy management","","1","","13","IEEE","13 Feb 2006","22-26 Aug. 2005","22-26 Aug. 2005","IEEE","IEEE Conferences"
"The Open Search.Org in Open Science Era: A Communication Platform for Everyone Building Their Repositories and Using Others","L. -P. Ku; Q. Bao","School of Economics and Management, University of Chinese Academy of Sciences; School of Economics and Management, University of Chinese Academy of Sciences",2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"16 Nov 2017","2017","","","124","128","Open Science represents a new approach to scientific process and have attracted attention worldwide. The Open Search.org is built up on the National Science Library, Chinese Academy of Sciences (NSL, CAS) for implementing open science in practice. In this paper, we describe the background, three components, development situation, and the future development vision of the Open Search.org (http://www.open-search.org).","","978-1-5386-0621-6","10.1109/IIAI-AAI.2017.221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113224","Open Science;Open Access;Open Content","Open Access;Metadata;Europe;Libraries;Open source software;Collaboration;Guidelines","","","","24","IEEE","16 Nov 2017","9-13 July 2017","9-13 July 2017","IEEE","IEEE Conferences"
"Conceptual design for comprehensive research support platform: Successful research data management generating big data from little data","M. Matsubayashi; K. Kurata","Faculty of Library, University of Tsukuba, Ibaraki, Japan; Faculty of Letters, Keio University, Tokyo, Japan",2017 IEEE International Conference on Big Data (Big Data),"15 Jan 2018","2017","","","4407","4409","Data sharing, which is hot issues in scholarly communication, is regarded as generating big data from little data in little science. In this article, a conceptual framework for research support platform in university is proposed, by the survey of two cases of representative and subject-based data archives in Japan; Data Integration and Analysis System Program (DIAS) and Inter-university Upper atmosphere Global Observation Network (IUGONET).","","978-1-5386-2715-0","10.1109/BigData.2017.8258475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258475","research data management;data sharing;data archive;scholarly communication;open science","Big Data;Terrestrial atmosphere;Metadata;Software;Databases;Earth;Data integration","","3","","4","IEEE","15 Jan 2018","11-14 Dec. 2017","11-14 Dec. 2017","IEEE","IEEE Conferences"
"Karna : A Crowdfunding Platform with Decentralized Autonomous Organization Based Verification using Blockchain Technology","A. P. Patil; A. N. G; A. Jain; A. Singh; M. Saran; B. Bhargavi S M","Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India","2024 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)","20 Sep 2024","2024","","","1","5","Karna is a platform designed to streamline and secure crowdfunding for social causes. It operates without the need for a central authority, instead relying on a decentralized autonomous organization (DAO) of anonymous volunteers to validate campaign legitimacy through a voting mechanism using smart contracts. This approach ensures that all funds are directed to genuine causes. Donors can contribute to campaigns without disclosing personal information. By eliminating middlemen and leveraging smart contracts, Karna facilitates transparent crowdfunding.","2766-2101","979-8-3503-8592-2","10.1109/CONECCT62155.2024.10677068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677068","VLSI Design;RISC Architecture;Floating Point Units (FPUs);Verilog;XILINX ISE Design Suite 14.4;Genus;DAO;Blockchain;Smart Contracts;Crowdfunding","Crowdfunding;Decentralized autonomous organization;Face recognition;Disasters;Smart contracts;Very large scale integration;Communications technology","","","","12","IEEE","20 Sep 2024","12-14 July 2024","12-14 July 2024","IEEE","IEEE Conferences"
"Performance Evaluation of the Metadata-Driven MASi Research Data Management Repository Service","R. Grunzke; V. Hartmann; T. Jejkal; H. Kollai; C. Dressler; J. Dolhoff; J. Stanek; H. Herold; A. Hoffmann; R. Müller-Pfefferkorn; T. Schrade; S. Herres-Pawlis; G. Meinel; W. E. Nagel","Center for Information Services and High Performance Computing, Technische Universität Dresden, Dresden, Germany; Center for Information Services and High Performance Computing, Technische Universität Dresden, Dresden, Germany; Center for Information Services and High Performance Computing, Technische Universität Dresden, Dresden, Germany; Institute for Data Processing and Electronics, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute for Data Processing and Electronics, Karlsruhe Institute of Technology, Karlsruhe, Germany; Monitoring of Settlement and Open Space Development, Institute of Ecological and Regional Development, Dresden, Germany; Monitoring of Settlement and Open Space Development, Institute of Ecological and Regional Development, Dresden, Germany; Monitoring of Settlement and Open Space Development, Institute of Ecological and Regional Development, Dresden, Germany; Digitale Akademie, Akademie der Wissenschaften und Literatur Mainz, Mainz, Germany; Digitale Akademie, Akademie der Wissenschaften und Literatur Mainz, Mainz, Germany; Digitale Akademie, Akademie der Wissenschaften und Literatur Mainz, Mainz, Germany; Institut für Anorganische Chemie, Technische Hochschule Aachen, Aachen, Germany; Institut für Anorganische Chemie, Technische Hochschule Aachen, Aachen, Germany; Institut für Anorganische Chemie, Technische Hochschule Aachen, Aachen, Germany","2018 26th Euromicro International Conference on Parallel, Distributed and Network-based Processing (PDP)","7 Jun 2018","2018","","","334","338","Research data is increasingly important in order to gain insights from scientific data. To optimally foster this, the management of research data is required to be usable, customizable and fast. We enable this by building up the MASi research data management repository service, based on the KIT DM framework. The aim is on utilizing a single repository instance to serve multiple arbitrary community use cases. Due to their diverse data characteristics the performance of the MASi service has to be fitting across the different cases. We evaluate the performance along three initial heterogeneous use cases. Various aspects are investigated; First, the object insertion and query performance of the database along the object fill level. Second and third, the ingest and download performance of digital objects using real-life data sets. Highly favorable performance characteristics are shown.","2377-5750","978-1-5386-4975-6","10.1109/PDP2018.2018.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374482","Research Data Management;Repository;Performance","Databases;Metadata;Bandwidth;Bars;XML;Performance evaluation;Standards","","","","13","IEEE","7 Jun 2018","21-23 March 2018","21-23 March 2018","IEEE","IEEE Conferences"
"GalaxyQ: A Platform for Reproducible and Provenance-Driven Hybrid Quantum-Classical Scientific Workflows","B. Raubenolt; D. Blankenberg","Cleveland Clinic, Cleveland, Ohio, USA; Cleveland Clinic, Cleveland, Ohio, USA",2025 IEEE International Conference on Quantum Computing and Engineering (QCE),"1 Dec 2025","2025","02","","264","267","Quantum computing has the potential to reshape scientific research in areas like materials science, chemistry, biology, and more. But many researchers still face hurdles, especially when trying to integrate quantum tools into existing analysis pipelines. In this paper, we explore how the Galaxy Project, a platform known for enabling reproducible computational research, can be extended to support hybrid quantum-classical workflows. By combining Galaxy's user-friendly, provenance-aware environment with quantum programming tools, we offer scientists a practical way to build and share workflows that include both quantum and classical components. This GalaxyQ approach lowers the entry barrier for quantum computing and promotes transparency, collaboration, and reproducibility in scientific computing.","","979-8-3315-5736-2","10.1109/QCE65121.2025.10331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11249900","quantum computing;software and dataset integration;workflow management system;collaborative workbench","Technological innovation;Materials science and technology;Quantum computing;Scientific computing;Pipelines;Collaboration;Programming;Reproducibility of results;Software tools;Faces","","","","11","IEEE","1 Dec 2025","30 Aug.-5 Sept. 2025","30 Aug.-5 Sept. 2025","IEEE","IEEE Conferences"
"Decentralized Provenance Metadata Registries for Asset-Referenced Tokens","T. Hardjono; D. Avrilionis","Massachusetts Institute of Technology and Numeraire Future Trends, Cambridge, MA, USA; Compellio SA., Luxembourg, EU",2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),"7 Oct 2025","2025","","","1","6","The recent EU regulation on Markets in Crypto Assets Regulation (MiCA) represents significant progress in establishing a multi-jurisdiction framework for crypto-assets that will enable the greater participation of consumers in the digital assets industry. One type of token recognized by MiCA is the asset-referenced token, where the value-bearing physical asset being referenced by the token is external to the token. We discuss several design considerations for the on-chain and off- chain metadata for the asset-referenced token that represents physical real-world assets. The EU Data Spaces provides an interesting data management framework for the off-chain metadata underpinning the MiCA asset-referenced tokens, including asset definition schemas, asset profiles, digitized asset records, and tokenized asset records. The Web3 decentralized registries for assets-related metadata should be a promising application of the data spaces framework in the EU.","2832-8906","979-8-3315-4135-4","10.1109/ICBC64466.2025.11185100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185100","Blockchain interoperability;standardization;asset metadata;asset schemas;data spaces","Industries;Bridges;Smart contracts;Standardization;Metadata;Regulation;Blockchains;Cryptocurrency;Interoperability","","","","11","IEEE","7 Oct 2025","2-6 June 2025","2-6 June 2025","IEEE","IEEE Conferences"
"Research on the Construction of Science and Technology Resource Big Data Management Platform Model Based on IPFS","S. Yang; Y. Liu; J. Meng; B. Li","Key Laboratory of Scientific & Technical Evaluation and Monitoring of Gansu, Institute of Scientific & Technical Information of Gansu, Gansu, China; Key Laboratory of Scientific & Technical Evaluation and Monitoring of Gansu, Institute of Scientific & Technical Information of Gansu, Gansu, China; Key Laboratory of Scientific & Technical Evaluation and Monitoring of Gansu, Institute of Scientific & Technical Information of Gansu, Gansu, China; College of Finance and Economics of Gansu Agricultural University, Gansu, China",2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),"18 Sep 2025","2025","12","","133","136","Analyzing the current problems in the management of technology resource big data, utilizing the unique advantages of decentralization and immutability of blockchain, and leveraging IPFS distributed large capacity storage technology, a technology resource big data management platform model based on blockchain and IPFS is proposed. The overall architecture, research coin model, functional modules, and smart contracts of the platform were designed in detail, and the Fabric consortium chain and IPFS private cluster were built to verify the scientificity and effectiveness of the platform model, providing new theoretical basis and technical route for the management of big data in technology resources.","2693-2865","979-8-3315-3128-7","10.1109/ITAIC64559.2025.11163217","Natural Science Foundation of Gansu Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11163217","Science and Technology Resource;Big Data;IPFS;Blockchain","Analytical models;Reviews;Prevention and mitigation;Smart contracts;Management information systems;Big Data;Data models;Fabrics;Blockchains;Information technology","","","","11","IEEE","18 Sep 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"High bandwidth scientific data management using storage area networking: lessons learned at the Starfire Optical Range","T. S. Duncan; M. S. Sichler","Air Force Research Laboratory, NM, USA; Air Force Research Laboratory, NM, USA","20th IEEE/11th NASA Goddard Conference on Mass Storage Systems and Technologies, 2003. (MSST 2003). Proceedings.","22 Apr 2003","2003","","","105","109","Advances in sensor technology, electronic devices, digital processing hardware, and computation systems have vastly increased the volume of data available for collection at scientific research sites. The Starfire Optical Range of the Air Force Research Laboratory Directed Energy Directorate is responsible for the research and development of advanced techniques for atmospheric compensation for large telescopes. Recent experiments have been completed which encompassed more that 100TB of collected data. The collection, processing, archival, and analysis of these data required an entirely new approach for the facility staff. This paper presents the architecture, hardware and software components, integration difficulties, and performance results in a ""lessons learned"" format focused on specific implementation choices, interoperability lessons and issues, and results and capabilities.","","0-7695-1914-8","10.1109/MASS.2003.1194846","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1194846","","Bandwidth;Optical fiber networks;Optical sensors;Hardware;Computer network management;Sensor systems;Military computing;Force sensors;Laboratories;Research and development","","","","","IEEE","22 Apr 2003","7-10 April 2003","7-10 April 2003","IEEE","IEEE Conferences"
"Implementation of a Decentralised Platform for Digital File Verification and Sharing using Solana Blockchain and IPFS","A. Goel; M. Jain; R. Kayalvizhi","Department of Networking and Communications, SRM Institute of Science and Technology, Chennai, India; Department of Networking and Communications, SRM Institute of Science and Technology, Chennai, India; Department of Networking and Communications, SRM Institute of Science and Technology, Chennai, India",2024 4th International Conference on Pervasive Computing and Social Networking (ICPCSN),"30 Jul 2024","2024","","","625","631","In recent years, the usage of digital files has increased and therefore data theft has also increased. Traditional centralized platforms often suffer from vulnerabilities such as single points of failure and lack of transparency. In response, decentralized technologies such as Interplanetary File System (IPFS) and blockchain have emerged as promising solutions. This research study presents a novel decentralized platform built upon the Solana blockchain and IPFS, designed to address the shortcomings of centralized systems. The proposed platform uses the transparency and immutability of the Solana blockchain network to provide a secure ledger for file verification. In addition to verification, the platform facilitates seamless sharing of digital files among users through IPFS, a distributed file system. By utilizing IPFS’s decentralized architecture, data is stored across a chain of nodes, eliminating a single centralized server. It not only enhances data resilience and availability but also mitigates the risk of censorship and data manipulation. This paper proposes using Solana blockchain instead of traditional Ethereum blockchain for better scalability because Solana supports more than 2000 TPS (transaction per second) and reduced network fee.","","979-8-3503-8634-9","10.1109/ICPCSN62568.2024.00104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10607683","Blockchain;File Sharing;Solana;Smart Contracts;Inter Planetary File Storage","Pervasive computing;Social networking (online);File systems;Scalability;Smart contracts;Blockchains;InterPlanetary File System","","1","","13","IEEE","30 Jul 2024","3-4 May 2024","3-4 May 2024","IEEE","IEEE Conferences"
"Reconfigurable Metadata Schemas with Multivalued Elements: Towards Educational Repository Management Through Formal Grammars on the Clavy Platform","J. Gayoso-Cabada; M. Gómez-Albarrán; J. -L. Sierra","Escuela Técnica Superior de Ingeniería de Sistemas Informáticos, Universidad Politécnica de Madrid, Madrid, España; Facultad de Informática, Universidad Complutense de Madrid, Madrid, España; Facultad de Informática, Universidad Complutense de Madrid, Madrid, España",2023 International Symposium on Computers in Education (SIIE),"8 Feb 2024","2023","","","1","6","Clavy is an experimental platform for managing learning object repositories that allows defining metadata schemas specific to each educational domain and even to each repository. Additionally, Clavy enables dynamic reconfiguration of these schemas to modify the way learning objects are explored and visualized. In this paper, we motivate and detail the evolution undergone by Clavy metadata schema model to support multivalued descriptive elements. Furthermore, we characterize this extension as a restricted type of grammatical formalism, opening the possibility of using more general grammars to organize repository contents.","2476-2172","979-8-3503-2931-5","10.1109/SIIE59826.2023.10423690","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423690","","Computers;Visualization;Education;Metadata;Grammar","","1","","15","IEEE","8 Feb 2024","16-18 Nov. 2023","16-18 Nov. 2023","IEEE","IEEE Conferences"
"A Blockchain Based Credential Verification System using IPFS","S. K. Ambast; T. A. Sumesh","Department of Computer Science and Engineering, National Institute of Technology Calicut, Kozhikode, India; Department of Computer Science and Engineering, National Institute of Technology Calicut, Kozhikode, India",2022 IEEE 19th India Council International Conference (INDICON),"16 Feb 2023","2022","","","1","5","Blockchain is one of the most emerging technology in the present IT world. It powers some highly monetized cryptocurrencies like Bitcoin, Ethereum, and many more. The uses of blockchain are not just limited to cryptocurrencies; researchers are working to implement real-world applications using blockchain. Blockchain has shown potential use cases in many domains like IoT, Logistics, Healthcare, E-commerce, Finance, and Security. Blockchain’s fundamental properties, like its decentralized nature, immutable architecture, transparent behaviour, and security, are the main reason behind its immense popularity. In this paper, a blockchain-based educational credential verification system is proposed, independent of credentials format and size, that uses the power of blockchain to provide a secure, decentralized interface to process, store and verify students’ academic credentials. The proposed solution can also deal with any archived credential with any well-known digital format like PDF, DOCX, JPG, PNG, etc.","2325-9418","978-1-6654-7350-7","10.1109/INDICON56171.2022.10039743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10039743","IPFS;Blockchain;Smart-Contracts;PoW;PoA","Costs;Finance;Medical services;Bitcoin;Throughput;Portable document format;Blockchains","","12","","31","IEEE","16 Feb 2023","24-26 Nov. 2022","24-26 Nov. 2022","IEEE","IEEE Conferences"
"Performance Analysis of E-Certificate Generation and Verification using Blockchain and IPFS","M. K. Pawar; P. Patil; R. Sawhney; P. Gumathanavar; S. Hegde; K. Maremmagol","School Of Computer Science and Engg, KLE Technological University, Hubballi, India; Master Of Computer Applications Dept., KLE Technological University, Hubballi, India; School Of Computer Science and Engg, KLE Technological University, Hubballi, India; School Of Computer Science and Engg, KLE Technological University, Hubballi, India; School Of Computer Science and Engg, KLE Technological University, Hubballi, India; School Of Computer Science and Engg, KLE Technological University, Hubballi, India",2022 International Conference on Inventive Computation Technologies (ICICT),"16 Aug 2022","2022","","","345","350","From many years to the present, people have used strong copies of degree certificates as proof of graduation. But in recent days, due to advanced technology, these certificates have been forged. As a result, undeserving people get job opportunities, which tarnish the image of these paper certificates. Therefore, overcoming such certification problems using blockchain technology is encouraged. Blockchain is a system of storing information that makes it difficult or impossible to repair, hack a system, ad save paper costs. With the help of the blockchain, an anti-forge, fixed, electronic-certified electronic certificate is produced. Students will not be able to manipulate the content of e certificates. The function of this system is that: a computer file (e-file) of the certificate i.e. The institution produces the electronic certificate At the same time, that student's record is kept in blockchain blocks using hash values. The hash value is generated from the interplanetary file system (IPFS) network. Accompanying electronic certificate, associated unique serial number (unique id) were also given to the applicant. The searching system (e.g. The Company the applicant applied for) can verify the authenticity of the electronic file using a unique hash value based on the data stored in the blockchain. The proposed method improves the performance concerning storage and speed.","2767-7788","978-1-6654-0837-0","10.1109/ICICT54344.2022.9850830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9850830","Blockchain;Interplanetary File System(IPFS);Electronic-certificate;storage;speed;scalability;hash value","Industries;Costs;File systems;Scalability;Maintenance engineering;Blockchains;Performance analysis","","7","","21","IEEE","16 Aug 2022","20-22 July 2022","20-22 July 2022","IEEE","IEEE Conferences"
